TransactionId;CustomerId;PolicyNumber;PolicyContractDate;IncidentOcurredDate;IncidentReportDate;InsuranceType;PremiumAmount;ClaimAmount;CustomerName;AdressStreet;AdressNumber;City;State;PostalCode;SSN;MaritalStatus;AgeInsured;Tenure;EmploymentStatus;NoFamilyMembers;RiskSegmentation;HouseType;SocialClass;InsuredEducationLevel;IncidentSeverity;AuthorityContacted;AnyInjury;PoliceReportAvaible;IncidentState;IncidentCity;IncidentHourOfTheDate;AgentId;VendorId;ClaimStatus
TXN00000029;A00004865;PLC00007448;29/8/2016;20/5/2020;25/5/2020;Property;1592;37000;Ronald Shaver;Oak Street;4339;Montgomery;AL;36105;892-06-1080;Y;43;32;N;3;L;Own;LI;Bachelor;Minor Loss;None;0;1;MD;Pasadena;7;AGENT00431;VNDR00339;A
TXN00000030;A00002422;PLC00005607;29/6/2019;18/5/2020;23/5/2020;Mobile;832;600;Lauren Loftin;Rachaels Ridge;1536;Nashville;TN;37076;708-10-7356;N;58;49;Y;4;M;Own;HI;Bachelor;Major Loss;Police;0;1;CO;Arvada;19;AGENT00546;VNDR00233;A
TXN00000031;A00003691;PLC00009902;3/7/2010;14/5/2020;19/5/2020;Health;1477;13000;Mildred Whitten;West Citrus Way;6225;Glendale;AZ;85301;571-86-2413;N;25;117;Y;7;M;Rent;MI;PhD;Major Loss;Ambulance;1;0;CO;Arvada;3;AGENT00531;VNDR00249;A
TXN00000032;A00006915;PLC00008459;26/1/2016;20/5/2020;25/5/2020;Property;12445;15000;Alyssa Bowen;Bremer Drive;57;Glen Burnie;MD;21061;324-12-8749;N;41;106;Y;4;L;Rent;LI;Bachelor;Minor Loss;Ambulance;1;1;AL;Montgomery;22;AGENT01134;;A
TXN00000033;A00009130;PLC00009575;28/3/2013;26/5/2020;28/5/2020;Life;5118;27000;James Hendrickson;M Street Northwest;1010;Washington;DC;20001;121-18-2947;Y;33;28;Y;7;M;Mortgage;LI;PhD;Minor Loss;Police;1;1;KY;Louisville;0;AGENT00552;;A
TXN00000034;A00001581;PLC00002330;24/5/2012;25/5/2020;28/5/2020;Mobile;838;100;Brent Lusk;Pond Avenue;33;Brookline;MA;2445;884-70-6944;N;64;100;Y;5;L;Own;LI;Bachelor;Minor Loss;Other;1;1;CT;Manchester;17;AGENT00623;VNDR00045;A
TXN00000035;A00007890;PLC00005354;13/8/2014;17/5/2020;22/5/2020;Life;9516;74000;Charles Johnson;Mabel Street;2708;Berkeley;CA;94702;400-09-6992;N;26;51;Y;2;L;Mortgage;LI;College;Major Loss;None;1;1;KY;Louisville;13;AGENT00313;VNDR00226;A
TXN00000036;A00003536;PLC00003499;14/2/2013;13/5/2020;18/5/2020;Life;6673;69000;Gloria Davis;Yule Street;8642;Arvada;CO;80007;609-62-9979;Y;30;100;Y;3;M;Mortgage;MI;Masters;Minor Loss;Ambulance;1;0;MD;Pasadena;7;AGENT00886;;A
TXN00000037;A00008207;PLC00008260;22/6/2017;17/5/2020;22/5/2020;Mobile;827;300;Irene Metcalf;Ridgecrest Court;105;Panama City;FL;32405;528-09-1289;Y;57;104;Y;4;L;Rent;MI;Bachelor;Minor Loss;Police;1;1;FL;Panama City;8;AGENT00690;;A
TXN00000038;A00003348;PLC00009265;28/2/2018;30/5/2020;30/5/2020;Life;503;18000;Patsy Cantu;C Street;450;Hayward;CA;94541;003-13-0404;Y;30;35;Y;5;M;Own;MI;High School;Total Loss;Police;0;1;AL;Montgomery;14;AGENT00678;;A
TXN00000039;A00000014;PLC00005626;29/12/2011;21/5/2020;26/5/2020;Mobile;659;600;Louis Yang;Colonial Woods Court;10723;Louisville;KY;40223;537-94-6385;Y;26;108;Y;4;L;Rent;HI;Masters;Minor Loss;Ambulance;0;0;DC;Washington;6;AGENT00132;VNDR00560;A
TXN00000040;A00006283;PLC00008977;27/7/2010;18/5/2020;23/5/2020;Mobile;1104;600;Albert Wilkie;Church Street;25;Pittsfield;MA;1201;676-21-8617;Y;62;108;Y;5;H;Rent;MI;PhD;Total Loss;Other;0;1;CT;Manchester;0;AGENT00284;;A
TXN00000041;A00003499;PLC00000212;17/7/2014;23/5/2020;26/5/2020;Life;8677;34000;Paula Davis;P Street Northwest;3138;Washington;DC;20007;240-40-7987;N;55;118;Y;5;L;Mortgage;LI;High School;Major Loss;Ambulance;0;0;CT;Manchester;2;AGENT00312;VNDR00018;A
TXN00000042;A00008902;PLC00006704;6/7/2015;20/5/2020;25/5/2020;Motor;8911;2000;Dorothy James;Creek Road;161;Middlebury;VT;5753;070-72-6085;Y;62;66;Y;4;H;Own;HI;Masters;Minor Loss;Police;0;1;AK;Anchorage;14;AGENT00622;VNDR00560;A
TXN00000043;A00002740;PLC00003271;5/9/2010;18/5/2020;23/5/2020;Property;14072;35000;Wayne Landrum;Elizabeth Drive;123;Manchester;CT;6042;805-55-1701;Y;57;93;Y;3;L;Rent;HI;PhD;Total Loss;Police;1;1;AR;Farmington;0;AGENT00896;VNDR00086;A
TXN00000044;A00009289;PLC00005560;27/7/2018;22/5/2020;27/5/2020;Property;1299;18000;Edward Igtanloc;North Cimarron Drive;5038;Beverly Hills;FL;34465;406-18-6432;N;32;55;Y;6;L;Own;MI;High School;Minor Loss;Ambulance;1;1;OK;Oklahoma City;18;AGENT00744;;A
TXN00000045;A00007672;PLC00006003;28/11/2012;24/5/2020;27/5/2020;Life;8499;66000;Cheryl Silva;Rosedale Drive;1163;Montgomery;AL;36107;304-55-2565;Y;39;51;N;3;L;Own;MI;College;Minor Loss;Ambulance;1;1;AL;Montgomery;16;AGENT00617;;A
TXN00000046;A00000956;PLC00009442;1/10/2012;28/5/2020;29/5/2020;Travel;9004;5000;Mary Cotton;West Thunderbird Road;5205;Glendale;AZ;85306;457-41-8492;Y;51;105;Y;2;M;Rent;MI;High School;Minor Loss;None;1;1;AR;Farmington;5;AGENT00969;VNDR00071;A
TXN00000047;A00000134;PLC00002112;9/12/2010;26/5/2020;28/5/2020;Motor;11772;7000;Harold Garcia;Bellflower Street;1004;Livermore;CA;94551;089-20-6131;N;31;39;Y;7;L;Rent;MI;High School;Major Loss;Police;0;0;CO;Arvada;0;AGENT00642;;D
TXN00000048;A00006528;PLC00006887;28/7/2017;31/5/2020;31/5/2020;Property;10974;15000;Tori Mcbride;Peak Road;2868;Wheelock;VT;5851;600-66-0177;Y;31;42;Y;4;L;Rent;LI;High School;Minor Loss;None;0;1;VT;Richmond;2;AGENT00845;VNDR00009;D
TXN00000049;A00008607;PLC00003012;9/9/2018;29/5/2020;30/5/2020;Mobile;905;300;Bertha Roseman;Shirewick Way;9912;Louisville;KY;40272;833-27-9802;N;56;115;Y;5;M;Mortgage;HI;Bachelor;Major Loss;Ambulance;1;1;DC;Washington;22;AGENT00580;;A
TXN00000050;A00004589;PLC00003093;7/5/2016;23/5/2020;26/5/2020;Motor;11699;10000;Travis Louis;West Blackhawk Drive;6988;Glendale;AZ;85308;099-80-2815;N;51;88;Y;7;M;Own;MI;College;Minor Loss;Ambulance;0;0;AZ;Glendale;13;AGENT00697;VNDR00488;A
TXN00000051;A00002074;PLC00003805;15/3/2015;13/5/2020;18/5/2020;Mobile;1104;400;Marion Dollyhigh;Edgewood Way;200;Louisville;KY;40243;342-01-9180;Y;49;20;N;2;H;Mortgage;MI;PhD;Total Loss;Ambulance;1;1;VT;Greensboro;22;AGENT00780;;A
TXN00000052;A00000481;PLC00001551;7/4/2017;15/5/2020;20/5/2020;Mobile;663;600;Thomas Lancon;Hills Point Road;31;Charlotte;VT;5445;113-92-5138;Y;64;59;Y;7;L;Own;LI;Bachelor;Total Loss;Other;0;1;AL;Montgomery;22;AGENT01183;VNDR00277;A
TXN00000053;A00009041;PLC00009146;27/5/2013;29/5/2020;30/5/2020;Motor;8282;9000;Wanda Ellison;Southwest 151st Street;812;Oklahoma City;OK;73170;690-70-2051;N;43;34;Y;7;L;Mortgage;MI;College;Major Loss;Ambulance;0;0;AK;Anchorage;21;AGENT00293;VNDR00025;A
TXN00000054;A00000859;PLC00008827;5/9/2017;27/5/2020;29/5/2020;Property;10405;16000;Donald Meehan;Pheasant Lane;10001;Oklahoma City;OK;73162;256-95-2029;Y;41;106;N;7;L;Rent;MI;Bachelor;Minor Loss;Ambulance;1;1;GA;Savannah;5;AGENT01049;VNDR00448;A
TXN00000055;A00000583;PLC00005283;29/6/2011;20/5/2020;25/5/2020;Property;13702;19000;Phillip Walker;Cotton Blossom Lane;7030;Montgomery;AL;36117;510-04-6704;Y;46;49;Y;3;M;Rent;MI;Bachelor;Total Loss;Ambulance;1;1;MD;Glen Burnie;9;AGENT00046;VNDR00445;A
TXN00000056;A00004719;PLC00002737;1/4/2015;16/5/2020;21/5/2020;Travel;7599;3000;Claire Carter;Route 66;68;;VT;5149;231-40-5595;Y;64;92;Y;5;L;Rent;HI;College;Total Loss;Ambulance;1;0;MA;Waltham;19;AGENT00224;VNDR00498;A
TXN00000057;A00002089;PLC00009114;2/7/2010;19/5/2020;24/5/2020;Motor;9271;2000;Antony Ender;Paddocks Court;1418;Crownsville;MD;21032;697-38-5325;N;47;102;Y;2;H;Mortgage;MI;High School;Total Loss;Police;1;1;CA;Jackson;7;AGENT00410;VNDR00358;A
TXN00000058;A00004245;PLC00001839;18/11/2019;29/5/2020;30/5/2020;Property;11133;30000;John Tilley;Saint Charles Avenue;333;Fayetteville;AR;72701;662-23-6761;N;36;15;Y;2;L;Rent;LI;College;Total Loss;Ambulance;1;1;AK;Anchorage;14;AGENT00515;VNDR00164;A
TXN00000059;A00009116;PLC00007965;25/6/2019;21/5/2020;26/5/2020;Mobile;851;300;John Flores;East Main Street;589;Newport;VT;5855;006-21-5361;Y;48;16;Y;2;L;Mortgage;MI;MD;Major Loss;Ambulance;1;1;OK;Oklahoma City;21;AGENT00824;VNDR00083;A
TXN00000060;A00003178;PLC00003361;30/8/2019;19/5/2020;24/5/2020;Travel;9708;2000;Edward Laderman;East 53rd Street;702;Savannah;GA;31405;480-78-6356;Y;56;104;Y;7;L;Own;LI;High School;Total Loss;None;1;0;KY;Louisville;11;AGENT00288;;A
TXN00000061;A00005466;PLC00000652;27/8/2010;19/5/2020;24/5/2020;Property;15505;16000;Margaret Bolen;Sunnybrook Drive;4316;Montgomery;AL;36108;456-25-1821;Y;32;12;Y;2;L;Rent;MI;NA;Minor Loss;Ambulance;1;0;VT;Fairfax;15;AGENT00308;VNDR00457;A
TXN00000062;A00007369;PLC00001585;19/7/2018;21/5/2020;26/5/2020;Property;12497;35000;Calvin Eichelberger;6th Street Northwest;1001;Washington;DC;20001;212-38-2492;Y;42;14;Y;7;H;Mortgage;MI;Masters;Total Loss;Other;0;1;OK;Oklahoma City;21;AGENT01028;VNDR00383;A
TXN00000063;A00002702;PLC00003400;21/5/2017;24/5/2020;27/5/2020;Property;15181;15000;Arthur Mitchell;Holiday Drive;4113;Panama City;FL;32408;503-23-1603;Y;53;69;N;7;L;Mortgage;HI;High School;Minor Loss;Ambulance;1;1;AZ;Glendale;20;AGENT00111;VNDR00010;A
TXN00000064;A00006128;PLC00000459;27/10/2014;1/6/2020;1/6/2020;Property;12154;31000;Debra Oliphant;Beazer Lane;819;Nashville;TN;37013;547-03-8985;N;40;108;Y;5;L;Own;HI;PhD;Major Loss;Police;1;1;MD;Annapolis;22;AGENT00697;VNDR00269;A
TXN00000065;A00001291;PLC00004134;10/9/2015;31/5/2020;31/5/2020;Travel;7747;3000;Mariann Hill;Balboa Way;4770;Fremont;CA;94536;260-75-2618;Y;39;16;Y;7;M;Rent;MI;Masters;Total Loss;Ambulance;0;0;MD;Millersville;12;AGENT00018;VNDR00314;D
TXN00000066;A00000261;PLC00006979;17/2/2011;26/5/2020;28/5/2020;Life;6755;96000;Michael Beltrami;Lacross Lane;210;Westmore;VT;5860;451-75-0398;Y;28;13;Y;5;M;Mortgage;MI;High School;Major Loss;Police;1;1;CT;Manchester;13;AGENT00612;;A
TXN00000067;A00008288;PLC00000241;25/3/2018;15/5/2020;20/5/2020;Travel;9849;2000;Marion Coffey;Albacore Drive;8376;Pasadena;MD;21122;456-23-3939;N;37;96;Y;5;L;Own;HI;High School;Total Loss;Other;1;0;AK;Anchorage;5;AGENT00141;VNDR00383;A
TXN00000068;A00009904;PLC00004191;3/11/2014;2/6/2020;2/6/2020;Mobile;1121;400;Denise Blake;Saint Matthews Avenue;188;Louisville;KY;40207;397-02-6816;Y;53;54;Y;6;M;Own;MI;Bachelor;Total Loss;Other;1;1;CT;Manchester;10;AGENT00572;;A
TXN00000069;A00007027;PLC00008450;9/2/2011;28/5/2020;30/5/2020;Health;1562;3000;William Martin;Eden Street;2707;Nashville;TN;37208;234-71-8403;Y;36;82;N;4;L;Rent;MI;Bachelor;Total Loss;Police;0;0;CA;Oakland;7;AGENT00565;VNDR00239;A
TXN00000070;A00003818;PLC00008734;23/9/2019;23/5/2020;28/5/2020;Mobile;723;100;Jacqueline Simpson;Southeast 84th Street;6120;Oklahoma City;OK;73135;149-26-5568;N;47;16;Y;5;M;Own;MI;High School;Major Loss;Other;1;1;AR;Fayetteville;9;AGENT00603;;A
TXN00000071;A00005168;PLC00000010;30/1/2019;24/5/2020;27/5/2020;Mobile;1163;400;James Thurgood;James Road;706;Glen Burnie;MD;21061;436-11-4663;Y;33;51;Y;2;M;Mortgage;MI;Bachelor;Total Loss;Ambulance;1;0;AK;Anchorage;1;AGENT01107;VNDR00033;A
TXN00000072;A00007705;PLC00009039;9/1/2013;30/5/2020;31/5/2020;Travel;7436;5000;Mathew Sims;Pine Valley Road;88;Savannah;GA;31404;336-07-2797;N;56;40;Y;3;L;Rent;MI;Bachelor;Total Loss;Police;0;1;CO;Arvada;5;AGENT00615;VNDR00407;A
TXN00000073;A00000877;PLC00008900;24/6/2015;21/5/2020;26/5/2020;Life;7697;99000;Jeremy Riccio;North Munchkin Lane;1823;Fayetteville;AR;72704;437-26-6789;Y;52;108;Y;7;L;Mortgage;LI;Bachelor;Minor Loss;Ambulance;0;1;FL;Panama City Beach;3;AGENT00309;;A
TXN00000074;A00006847;PLC00009501;14/10/2016;1/6/2020;1/6/2020;Mobile;615;300;Susan Petersen;Moore Court;7564;Arvada;CO;80005;799-30-1508;Y;60;81;Y;3;M;Mortgage;LI;College;Total Loss;Ambulance;0;1;AL;Montgomery;9;AGENT00315;VNDR00056;A
TXN00000075;A00005205;PLC00009466;29/10/2018;14/5/2020;19/5/2020;Life;7834;52000;Anthony Girard;40th Avenue North;122;Nashville;TN;37209;272-52-4093;Y;60;55;Y;4;L;Own;MI;Bachelor;Minor Loss;Ambulance;1;0;CO;Telluride;17;AGENT00561;;A
TXN00000076;A00009078;PLC00001505;15/8/2014;17/5/2020;22/5/2020;Life;6788;59000;Eileen Svoboda;Lee Boulevard;201;Savannah;GA;31405;419-57-7880;Y;50;34;Y;4;H;Own;HI;Bachelor;Major Loss;Ambulance;1;1;CO;Wheat Ridge;19;AGENT00935;VNDR00521;A
TXN00000077;A00000804;PLC00006719;9/7/2011;14/5/2020;19/5/2020;Life;6872;60000;William Zeigler;18th Avenue South;1907;Nashville;TN;37212;712-50-7492;Y;32;85;Y;7;H;Rent;MI;High School;Major Loss;None;1;1;CA;Livermore;5;AGENT00210;VNDR00488;A
TXN00000078;A00004234;PLC00005127;5/6/2017;27/5/2020;29/5/2020;Life;8631;39000;James Hodges;Sun River Drive;6244;Sacramento;CA;95824;617-93-2552;N;42;54;Y;7;M;Mortgage;HI;Bachelor;Major Loss;Ambulance;1;0;AR;Fayetteville;17;AGENT00283;;A
TXN00000079;A00002003;PLC00004274;26/8/2013;22/5/2020;27/5/2020;Motor;10014;7000;Carlos Montello;Adams Street;11;Arlington;MA;2474;272-67-3130;Y;33;36;Y;6;L;Mortgage;MI;High School;Major Loss;Police;1;1;CA;Oakland;15;AGENT00094;;A
TXN00000080;A00000193;PLC00000742;28/7/2018;2/6/2020;2/6/2020;Travel;8179;4000;Gary Enciso;Wright Street;6029;Arvada;CO;80004;146-19-8530;N;63;43;N;3;M;Rent;HI;MD;Major Loss;Ambulance;1;0;AR;Fayetteville;4;AGENT00680;;A
TXN00000081;A00009864;PLC00003666;5/11/2011;24/5/2020;27/5/2020;Life;8805;79000;Melva Ramirez;East 19th Street;1601;Edmond;OK;73013;534-60-3358;Y;36;42;Y;5;M;Rent;MI;High School;Minor Loss;Ambulance;1;0;GA;Savannah;21;AGENT00319;;A
TXN00000082;A00003565;PLC00003125;12/11/2013;18/5/2020;23/5/2020;Travel;8936;2000;Richard Lavalle;Cliffside Drive;25;Manchester;CT;6042;548-31-5757;Y;36;29;Y;3;L;Mortgage;MI;MD;Major Loss;Ambulance;0;0;GA;Savannah;10;AGENT00630;VNDR00287;A
TXN00000083;A00006009;PLC00000069;5/2/2016;31/5/2020;31/5/2020;Life;9504;14000;Marion Talley;Allerford Drive;1742;Hanover;MD;21076;541-76-7031;Y;35;39;Y;6;L;Mortgage;MI;Bachelor;Minor Loss;Ambulance;0;1;AK;Anchorage;10;AGENT00559;VNDR00466;A
TXN00000084;A00000670;PLC00003987;1/6/2017;30/5/2020;31/5/2020;Mobile;1157;100;Diane Givens;Wesley Avenue;529;Nashville;TN;37207;075-78-0354;N;44;107;Y;3;L;Rent;MI;College;Minor Loss;None;0;0;FL;Panama City;13;AGENT00771;;A
TXN00000085;A00002691;PLC00000988;25/11/2016;14/5/2020;19/5/2020;Motor;10933;6000;Jimmie Herbert;East Glenn Lane;1109;Fayetteville;AR;72703;179-57-6712;Y;50;69;Y;6;L;Rent;HI;Bachelor;Total Loss;None;1;1;FL;Youngstown;0;AGENT00304;VNDR00077;A
TXN00000086;A00007463;PLC00005994;13/7/2014;28/5/2020;30/5/2020;Motor;12663;1000;James Miles;Walker Lane;2505;Nashville;TN;37207;011-48-0223;Y;34;35;Y;4;L;Mortgage;HI;Bachelor;Major Loss;Police;0;1;CO;Arvada;9;AGENT00167;VNDR00541;A
TXN00000087;A00007262;PLC00009746;29/8/2011;30/5/2020;31/5/2020;Life;7765;78000;Monica Threlkeld;Jenks Avenue;1518;Panama City;FL;32405;742-23-3926;Y;25;75;Y;5;M;Mortgage;MI;High School;Major Loss;Ambulance;1;0;CA;Hesperia;16;AGENT00792;VNDR00588;A
TXN00000088;A00009910;PLC00005185;31/1/2011;21/5/2020;26/5/2020;Motor;820;10000;Tasha Bolds;Gladiola Street;7095;Arvada;CO;80004;756-36-8621;Y;61;21;Y;5;L;Own;MI;College;Minor Loss;None;0;1;FL;Lynn Haven;4;AGENT00001;VNDR00394;A
TXN00000089;A00005802;PLC00001608;25/4/2017;31/5/2020;31/5/2020;Health;10263;9000;Joseph Walt;Howe Street;4329;Oakland;CA;94611;870-21-9085;N;63;96;Y;3;L;Own;LI;Bachelor;Major Loss;None;0;1;MA;Lowell;4;AGENT00955;;A
